document	label
그림체 뭔가 잔느, 달빛천사 스타일이네	0
명불허전 네이버그림체 원톱	0
퀄보고 감동	0
미친 개 존잘	0
그림너무예뻐요 ㅠ	0
안녕하세요!미래에서왔습니다!완결작들을보고있는데그림체가너무예쁘네요ㅎㅎ(아직내가태어나기전에나온웹툰이라서찾기는어려웠지만...)	0
오랜만에 보러왔는데 문아 진짜 예쁘긴 하네	0
이 만화는 모든 사람이 예쁘다는거....	0
배경에 신경을 많이 쓴듯	0
와 여주 내스타일	0
그림 귀여고 예뻐요	0
눈을이리도정화시켜주는웹툰이또있는가...	0
너무 그림체가 좋아서 별점주는거 잊어버렸네요	0
그림체가 좋긴한데 고려시대치곤 좀ㅋ	0
진짜 작화 오진다	0
아니 티비랑 그림체 다름게ㅜ킬퐄ㅋ	0
그림이 너무 하찮아ㅠㅜㅡ	0
애니메이션 보는 거 같아요	0
아니 마루 진짜 대충그렸는데 어떻게 저렇게 귀엽지?	0
개그만화 그리는 사람은 다 잘 그린다고 하던데 사실이었음 ㅠㅠ	0
깔끔한 그림체 좋은 전개 애니화 하면 해외에서도 대박날즛	0
내가 알던 도라지는 어디가고 이런 고퀄 그림체가?	0
눈이 정말 파랗네요 !	0
일본그림체	0
그림ㅊㅔ 다이스키!!	0
그림 잘그리는 것도 킹받음	0
그림체 진짜좋고 뒷내용이 어떻게 이어질지 전혀 예상이 안돼서 좋음ㅋㅋㅋㅋㅋㅋㅋ 밥에 미친 여주도 너무 매력적이고 주변인들도 다 재밌다ㅋㅋㅋㅋㅋㅋㅋ	0
여주 진짜 예쁘다 디즈니상이네	0
마지막 얼굴 보고 진짜 폰 던졌다	0
헐 도깨비 완전 귀여워 왜 아무도 언급안해??	0
막컷 눈을 왜그렇게 떠..요	0
우와 그림체 최신화하고 되게 다르다	0
웹툰 흑백이어도 좋은듯 오히려 일부만 채색한 부분이 강조되서 집중도 잘됨	0
남잔데 달빛천사 좋아했던 사람이라 그림체가 친숙하니까 보게된다	0
여자 진짜 잘그리신다...	0
아 제발 마지막 표정 볼 때마다 개뿜음	0
아 왜 계속 눈이 저래 ㅋㅎㅋㅎㅋㅎㅎㅋ	0
아... 뭔가 그 특유의 웅장함과 전율이 표현이 잘 안 됐네 ㅠㅠ 아쉽다..	0
하 작화 진짜 돌았네...	0
그림체가 조금 미숙한 것 같음,, 재밌긴 한데	0
여주 허리 무슨일이야...부러지겟어	0
그림체를 빼면 시체란말인가!!...	0
이거진짜 첨에 한장면보고 순간적으로 애니캡쳐 오해했을 만큼 엄청난 고퀄의 작화 ㅎㄷㄷ	0
채색 하는거 힘드셨을것같다..	0
언제나봐도 퀄리티가....bb	0
원작의 급변하는 텐션을 그림 연출이 못따라가네	0
배경없거나 같은구도의 그림이나 아예 복붙인게 겨우5화 봤는데도 좀 보여서 마음이 아프네요.	0
그나저나 금철용 내 안에 이미지로는 말투 탓에 좀 차분한 편이었는데 생각해보니까 웹툰 캐디가 확실히 납득이 가는 캐디인듯	0
눈이정화되는웹툰이다....	0
헐 퀄리티 0_0 색감 0_0	0
아니 ㅇㄱㄹㅇ 막컷 실화냐고 진짜 아ㅋㅋㅋㅋㅋㅋ	0
그림체 넘 귀엽고 눈도 이쁘게 잘 그리시는듯..쩔어요	0
난 이런 그림체를 찾고 있었어..	0
근데 여주.. 머리카락 채도가 너무 높다ㅠㅠ 그림자 있는 부분에 확실히 채도를 낮추면 좋을텐데,,,	0
스크롤 내리다가 멈칫해서 1분동안 얼굴본듯 ㅋ	0
그림채...ㅋㅋㅋ	0
그런데 여주 예쁘다	0
엄청 고양이상이네 ㅋㅋㅋㅋ 엄청 이뿌	0
아 일단 장르는 둘째치고 다 존잘이야 합격	0
인물이 왜케 어깨가 처지고 좁냐.. 다른건몰라도 인체비율을 지대로못잡는듯	0
차성태 캐디 생각했던거랑 너무 다른데 이것도 좋다	0
마지막 컷 진짜 미친듯	0
덕후를죽이는미친연출	0
스토리도 대박인데 그걸 더 살리는 연출 작화도 대박이다. 새로운 스킬 나올때마다 소름 돋음	0
와 너무 재밌어.. 태어나서 본 작화중에 제일 예술적이다. 그림작가님 돈길만 걷길 ㅜㅜ🧡	0
진짜 웹툰화 걱정했던게 무색하게 컷편집, 작화 정말 퍼펙트합니다ㅠㅠ 작가님들 안만났음 어쩔뻔했나 싶어요!!! 진짜 완벽한웹툰화라고 생각합니다!!!!!	0
개 귀욤	0
작가님 음식 왜 이렇게 잘 그려요	0
살려주세요 그림체 바뀌는걸 못따라가겠어요	0
이겨슨 멸종위기 긂체..?	0
진짜 저 이거 폰 바꾸고나서 못 봐가지고 다시 첨부터 보는건데 다시봐도 bb잘 그리셔유	0
미친 로판 남주 얼굴은 거의 날카롭고 차갑고 얼굴이었는데 이렇게 청순하고 눈빛이 선한 남주는 처음이야...	0
그림체 진짜..표정묘사도 다양하고 기본기 ㄹㅇ탄탄하다	0
사장님은 스토리 이야기를 좀 간단하게 요약해서 진행하면 안되나요? 제대로 된 스토리 전개가 절실하다는느낌이 드네요.	1
아 진짜 너무 빵터졌네	1
이 온니 황소같네 진도를 너무 나가	1
ㅈㄴ쫄깃쫄깃	1
크...쫄깃하구만?	1
주인공이 제일 매운맛일수도	1
안돼 내 항마력	1
진짜 너무 끔찍하네. 그냥 바로 죽인것도 아니고 화해하자고 속여놓고 저렇게 환하게 웃는 어린애를 죽여?	1
존나 무서워..	1
상여자군	1
겁나 무섭네 ㄷㄷ	1
남수 햇살캐인줄 알았는데ㅠㅡㅠ	1
남수 초반부터 분위기가 쎄했어	1
무셔...	1
아 왜케 심장 졸이면서 보게되지	1
와 진행 빠르다	1
오늘 처음보는데 작화도 개쩔고 스토리도 개쩐다..	1
..........이야기 흐름 미춋다.....	1
이 웹툰에 정상적인 사람이 있긴한거지..?	1
어머님은 대체 직업이 뭐에요 혼자 학비도 감당하시고 꼬박꼬박 아이 태우러 다니시고...	1
엄마가 또 죽였니...?	1
난 초반까지만 해도 소명이가 영재고 입시성공해서 탈출하고 그후 복수계획짜고잇을줄 알앗음 ㅠ넘 슬픔 편입하자...	1
요즘 보험금 노린 존속 살인이 많던대 여기도 그런걸 소재로 삼네요.. 안타까운 세상이에요	1
이게.. 바로.. 서울대의 머리 속에서 나오는 스토리..	1
진짜 가스라이팅이 뭔지 확실히 보여주는 웹툰이다	1
숨도 안쉬고 봤다,,, 몰입도 최고	1
이거... 늦여름용 공포물이죠....? ㄷㄷㄷ	1
집인데도 그렇게 소리를 지른거냐.. 눈치가 빠르다곤 해도 아직 애구만ㅜ	1
주인공에게 너무 능력을 몰아줘서 점점 시시해지는 경향이 있음.	1
대박!! 흥미진진한 전개에서 엔딩!! 감사합니다 UMI/슬리피-C! 님들!	1
보통 부모님한테 차별받는 주인공들만 봤는데 이렇게 다른 가족을 차별하고 주인공을 완벽하다며 추켜세우는 내용은 처음임 재밌다	1
부검 유가족 동의 있어야될 걸?	1
헉! 진짜? 금사빠 순수여주로판이로구나	1
캐릭터들 각자의 매력이 너무 좋아서 결제해버렸어요 같이 달려봅시다!!	1
항상 천박한 출신이라 착하고 여리고 답답하기만 하던 로판 여주랑은 달라서 좋다	1
독기가득한 여주넘조아 다 부셔 다 죽여	1
전개가 무슨.. 소설과 비교 안 될 정도로 빠르네요!!!	1
여주가 말을 잘하나? 여주가 말만해도 다 믿네?	1
진심 플러팅 장인아닙뉘까,,??	1
옛날 순정만화 같은 느낌인데 개 정신없네 ㅋㅋㅋㅋㅋㅋ	1
미래가 바뀌나요?	1
난 야망있는 여자가 좋더라. 그래서 악녀들만 좋아하는 듯. 회귀물 주인공들은 전부 복수심에 매달려 있어서 별로 취향 아님.	1
그러고보니 아리 다른 사람의 기억을 엿보는 능력 있었는데 요즘은 왜 안나오지.. 글작가가 설정해놓고 까묵엇나	1
여주.. 약간 꽃밭 같은데 진짜 꽃밭이라서 차가운 눈과 얼음을 따뜻하게 녹이는 느낌 정신 못 차리고 홀리네 이런 건 또 처음이다	1
꼬시는데 재능있네	1
아니 흐름봐ㅋㅋㅋㅋ개웃곀ㅋㅋㅋㅋㅋ	1
와 여주 진짜 멋있다 자신감 적당히 예의도 있고	1
아들가스라이팅당한건가	1
여주 시원시원하고 단순해서 좋아요 ㅠㅠ 울적한 성격이 베이스면 너무 힘듦	1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개 빵터졌다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
진짜 너무 재밌어 ㅠㅠㅠㅠㅠㅠㅠ	1
지금제머리로는이해를못하겠으니좀더나중에오겠습니다	1
아니 예측을 할수가 없내	1
진짜 평범한게 하나도 없지만 재밌다ㅋㅋ너무 신기해	1
페북보고 왓는데 핵꿀잼	1
짇짜 어이없어서 계속 보게 되넼ㅋㅋㅋㅋ	1
킬포가 몇 개야 ㅜㅜㅜㅜㅜㅜ	1
마지막에 막장 드라마..	1
재밌다 계속 또 보게 돼	1
역시 꿀잼	1
초반에는 좋게봤는데 후반갈 수 록 싸움으로 스토리 잊혀짐 ㅋㅋ 다시 정주행가야하나,	1
작가님 스토리가 잘 되다가 갑자기 막장 진행만하시네요 제대로 정리하고 나가면 안될까요	1
너무 궁금해서 댓글 보러왔는데... 그냥 이야기는 제발 깔끔하게 마무리하세요. 너무 막장이네요. 주변에서도 그러는 사람들 많은데 왜 작가님은 몰라보는건지...	1
윌케 이야기가 산만하지 ㅠ	1
아 이건 또 뭔.......... 전개가 진짜........	1
문아 재미 있어 보이네요	1
판은 점점 커지고 해결되는건 더디고 대체 언제까지 이러기만 할건가요?	1
얘기가 중구난방이라 너무 정신없다....	1
오늘은 재밌다	1
진짜 재밌어	1
아 이 밤에 혼자 웃참 챌린지 중 ㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
진짜 개뻔뻔하네 김독자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 재밌어	1
📌'선지자들'에 대한 떡밥	1
와...ㄷㄷㄷ 이제부터 본격적으로 세상의 멸망이 시작되는구나아	1
순탄히만가던 빙의자나 환생자만 보다가(물론얘들도 자기들바꾼것땜에 자체 상향되긴했지만)난이도 팍팍올려준거 보니 매콤하니 입맛도네요	1
친화력 좋은 독자씨	1
죵놔 재미없네	1
ㅋㅋㅋ빌드업이 길긴했는데 꿀잼	1
맨날 배틀로얄지겹다	1
스토리가 더 탄탄해졌음	1
설정이 너무 더러워짐	1
드디어 꿀잼이다	1
점점 궁금해지는 스토리	1
나 너무 무서워	1
생일초 양보하는 장면에 케이크가 티라미수임 ㄷㄷㄷㄷ	1
왜 이렇게 재밌어?	1
아니 끊는걸 너무 잘하시잖아요	1
흐아아아아아앙 놈슬퍼	1
근데 독극물이면 인공호흡하면 여주도 같이 골로 가야했던거 아냐...?	1
마지막 개터졌넼ㅋㅋㅋㅋㅋㅋㅋ	1
와 진짜 이번화 짱이야	1
좋아. 이번화는 좋았다.	1
진짜 다음화가 기대된다.	1
일단 로판인데 환생/회귀/빙의물이 아니라 기쁘다ㅠ	1
눈치 보는거 너무 웃겨...왜지	1
정말 이 웹툰 뭐죠? 웃다가 순간순간 가슴이 몽글몽글해지며 눈가가 촉촉해져요	1
화장실인데 너무 크게 웃어버렸잖아요ㅜ 책임져	1
2번째 돌려보기! 제에게 힐링 입니다!	1
약 거하게 빤거같아서 조아	1
정신나간캐릭터 대환영	1
아니 순정 만화 아녔냐고....ㅋㅋㅋㅋㅋ	1
남수야 너 실망이다	1
남수 짜중남..;	1
여주말고눈 제정신인 애가 없음	1
재밌어서 다 봤네 ㅎㄷㄷ 몰입도 쩐다	1
니들이 안 챙겨도 소명이 혼자서 니들보다 훨씬 더 잘 살텐데 챙기긴 뭘 챙겨.	1
어머니 빨리 처리 안해주시나요	1
왜이렇게 전체적으로 위태위태한 기분이 드는지 금방이라도 터질 것 같은 분위기	1
엄마가 일부로 남수랑 같이 놀게 두는듯.... 딸이 평생 친구 이런거에 관심안가지게	1
나중에 어떻게 될지 궁금	1
점정스토리가무서워지면서슬퍼	1
정신나갈것같아...	1
아니 진짜 개 오글거리고 개연성 없다고 툴툴대면서 계속 보게 되네... 이게 마약인가	1
역시 아방수가 이기는구나..	1
리얼 먼치킨이네 ㅋㅋ	1
진도가 너무 느리네여	1
확실히 전개가 소설보다낫네	1
진짜 다들 주인공을 못잡아먹어서 안달이네ㅋㅋ사이다 맥여줬으니 다행	1
크~ 사이다 사이다아	1
고구마 없어!사이다만존재해ㅐㅐ!	1
안 가볍고 무서운데요	1
진짜 재밌음ㅠ 도파민 폭주 마약 필요 없음	1
3화밖에 안 됐는데 벌써부터 주인공이랑 친구 서사가 너무 기대된다......	1
근데 학교폭력 소재가 좀 과한것같아요.....	1
너무 힐링되는 웹툰 발견 ㅎㅎ	1
아 잠만 아 너무 웃곀ㅋㅋㅋㅋㅋ	1
전개를 예상할 수가 없다	1
아 순식간에 호러된 줄 알았어........	1
오늘따라 유난히 재밌는듯	1
이 웹툰의 모든 대사 하나하나가 다 개웃김 ㅠㅠㅠ	1
어우 시원	1
자꾸 체자레가 좋아져서 다시 보러왔는데 역시 쓰레기네여.. 이사벨라보다 체자레가 더 당해야하는데 뭔가 반대가 된 느낌 ㅜㅜ	1
똑똑한악녀네...거기다 자신의 상황을정확하게 알고있고..	1
마냥 멍청한 악역이아니라 캐릭터가 입체적이어서 좋은거같음	1
진짜 김모죠 작가의 천재적인 개그가 개탐난다 개웃겨진짜ㅠ	1
마지막에 진짜 약간 설레는거 너무 좋다.	1
누구맘대로 깨져	1
티보치나.. 악역일것 같다고 예상은 했지만 그걸 바로 확인시켜줘서.. 아쉽다ㅜ	1
스토리 개 탄탄 하다	1
복수극 가나요??ㅎㅎ 재미있어요ㅎㅎ	1
플래그를 세우면 어떡게 된다? 다시 그녀가 너한테 돌아간다!!!	1
깨지지않을거라고믿어요...	1
전개 빠름	1
??이게 대체 무슨 내용이야	1
태그에 "병맛"이 빠진거 같은데요?	1
오늘내용경이롭네 ㅎ..안그래도 저번주에 뉴비 레이드뛰느라 패턴외우느라고 뒤지게힘들었는데 그거보는기분같다 ㅋㅋㅋㅋ	1
뭔가 공감되는 포인트가 있네.	1
동생의 죽음을 목격하고 직접 심폐소생술까지 한 어린 딸에게 본인 기분을 우선시하게 만드는 화법을 쓰는 어머님.. 진짜 가스라이팅 천재시네요	1
싸이코 엄마아녀	1
ㅘ진짜시원하다	1
뭐야 다시 정주행하는데 자하 원래 성격 순둥이였어?? 충격이다	1
주인공이 힘을 숨기지 않아서 좋다ㅋㅋㅋㅋㅋ또 다른 재미네ㅋㅋㅋㅋ	1
요즘 이런웹툰 너무많아;; 아주 비슷한 웹툰도있고..전개가 똑같네 66666도 그렇고..	1
왜 주인공이 악녀같지... ㅋㅋ	1
아 이래서 회귀물 못 끊겠어 캬 도파민이 넘치네	1
시원하네	1
정주행하는데 맑고 착한 이자하 보니깐 이자하가 아닌것 같음	1
광마회귀에서 가벼운 분위기가 없으면 나중에 무거운 분위기에 짓눌려서 읽을 수 없게 된다.저 가벼운 분위기는 작가가 일부러 넣었다고 본다.	1
옆집 귀환의 주인공의 인성이 개 같은데 이 주인공 도 인성이 똑같고 스토리도 좋네요	1
예쁘다는 이유 하나로 뭘 해도 매력있다는거 정말 어이없음	1
아 근데 진짜 과거엔 순진했구나	1
딱 내스타일 시원시원한 성격 조오코	1
지금까지 이런 무협물 주인공은 없었다ㅋㅋㅋㅋㅋ	1
사이다 전개만 있기를!	1
무협판 조커라고 할수 있는 작품..다만 주인공이 미쳤어도 기본적으로 선한 놈이라 나쁜 놈은들은 가차 없이 죽여도 양민들 삥 뜯지는 않음..	1
우린 이걸 사이다라고 부르기로 했어요	1
넌 어차피 내 손바닥 안이라는 의미인가	1
가스라이팅 대박이다......	1
엄마는 알고 있었던 거지 딸이 똑똑하니까 친가 외가 모두 절연한 상태에서 의지할 곳이 없는 딸은 절대로 자기를 신고할 수 없다는 걸	1
무사워요...	1
무슨 공포게임 보는거 같다 ㄷ ㄷ	1
그래도 애가 똑똑하네 판단도 빠르고...그나마 다행	1
착한 그림체에 그렇지 못한 내용……뭔가 사나도 호락호락할 거 같진 않았는데 뒤집는 건 예상도 못함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
오늘은 괜찮은거같다.	1
2화만에 울었음 진짜 개무서움	1
여주도 그렇고 다들 은은하게 돌았엌ㅋㅋㅋㅋ큐ㅋㅋㅋ	1
스토리가 1도 예측이 안되네 ㅋㅋㅋㅋ	1
아방이 세상을 구한다	1
뇌빼고 보면 되는건가요	1
아 그래서 사람들이 다 안 좋게 봤던건가 어차피 떠날 사람이라? 오... 서사 재밌네	1
뭐.. 왜 다 읽었는데 이해가 안가..;;	1
뭔 일인진 몰라도 신전쪽에서 혼약이 깨지게 만드려는 거 같은디	1
여주가 차가운 사람들을 따뜻한 분위기로 만들듯 그치 그렇다고 해	1
뭔가 이전의 로판들랑 다르게 세계관 자체가 현실적이고 새로운 느낌이라 좋다	1
햇살 여주 좋다....	1
그래도 재밌다.	1
뭐지 갑자기 제 4의벽 뚫기…?	1
요즘 자주 궁금해진다.	1
진짜 너무나 감동적이야	1
그림체 진짜좋고 뒷내용이 어떻게 이어질지 전혀 예상이 안돼서 좋음ㅋㅋㅋㅋㅋㅋㅋ 밥에 미친 여주도 너무 매력적이고 주변인들도 다 재밌다ㅋㅋㅋㅋㅋㅋㅋ	1
하 그래 고난과 역경을 어떻게 이겨낼지 정말 기대돼...	1
흥미진진 그 잡채	1
말 하나하나가 다 명언이여	1
빌드업 지렷다	1
진지한 그림 체에 그렇지 못한 대사.. 아니 시도때도 없이 계속 대사가 웃김..ㅋㅋㄱㅋ	1
대사 너무 중2병 걸렸다 다들	1
아 점점 너무 복잡하게 가네..	1
진도 개빨라 회귀해서 강단있구만	1
동기설정이 다소 어설픈게 좀 아쉽다..작가님 너무 빨리가려하시면 작품 가치가 다소 내려갈수있다는거 알아주세욤	1
무협이 아니라 정치드라마 같음ㅋㅋ	1
처음 정주행 하는 독자인데 선지자편부터 재미가 붙기 시작하네요. 기본 배경이 되는 소재 말곤 특츌난게 없던 내용이 확실히 나름의 개성을 찾아가는 느낌?	1
난 이쪽 스토리가 좀 짜증났음. 자칭 선지자 놈들 아가리 터는 거 보기싫음	1
점점 내용이 루즈해지네 뭔 내용도없고 그저 유흥거리웹툰이네	1
여주 매력없다고 생각했는데 겁나 카리스마 있네ㅋㅋㅋㅋ 매력없다한거 취소 완전 사랑스럽다	1
아힐링대	1
하..진짜언제봐도재밌고몇번을봐도질리지가않아..^^ㅎ	1
머랄까 파도의 주인말고 좀 더 밝은 치유물같음 오늘 첨봐서	1
남주야 벌써 부터 답답하면 앞으로 얼마나 고구마른 맥이려 그러느거니..	1
소름돋는 엔딩이었다	1
사이다만 ㅈㄴ줘서 배터지겠는 웹툰이네	1
요즘 네이버는 이런 개그물이 많네 딱 뇌빼고 보기 좋은 스타일	1
무림이 아니라 느와르여 ㅋㅋㅋ 재밌네	1
보통 이런 처음이 가벼운 작품들은 가면 갈수록 무거워지던데.... 제발.....	1
이거 뭐지? 점점 산으로 가는데??	1
와 진짜 이만화 매화볼때마다 통쾌하고 시원하네 걍 기분이개좋아지네요	1
고구마 주인공보다 사이다 주인공을 원했다고!!!!	1
전개가 너무 가볍다...뭐지ㅡㅡ	1
실눈=사기캐 공식이 여기선 안먹히네?	1
아 개좋아 이런류의 먼치킨 작가님들 사랑합니다~~	1
이거 멘트만 따로 짜는 사람 있냐 ㅋㅋㅋ	1
1화부터 개그 코드가 너무 재밌고	1
진지한물에 개그 조미료로 첨가한 느낌?	1
와 끊는 타이밍 레전드..........	1
나이스!!!연결 플래그 떴다!!! 앞으로 잘 부탁합니다!작가님!	1
빨리 자하드와의 대결을 보고싶다	1
뭔가 묘하게 공감되는 부분이 있다.	1
흥미진진 하네요	1
또 다른 해석도 있을 것 같아.	1
뜻하지 않은 육아물	1
의외로 개그물이었넼ㅋㅋㅋ	1
그림은 궁서체인데 대화는 개그물이라니 ㅋㅋㅋ	1
이제 진짜 본격적으로 시작인거 같다.	1
반복되는 개그요소는 지루함만 추가할뿐이라 개그요소를 적절하게 넣는게 좋을거같아요	1
나오는 신작마다 내용이 다 같어 ㅋㅋ	1
참고로 원작보다 순한맛입니다 이게...	1
또회귀물이네 네이버도 카카오페이지처렁되가네 근데 그걸또 나는 보고있네 하..	1
근데 저 천옥 교주가 먹었으면 어떻게 됐을지 궁금하네	1
분명 대화나 많은 부분을 스킵했음에도 어찌 이렇게 매끄럽게 연출한건지.. 볼수록 연출력에 감탄하면서 보는중	1
주인공 왜케 민폐같지..?	1
? 펼치기 전까지는 시리어스물인줄 알았는데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
무협 느와르 그자체... 유진성은 신이야	1
요즘 무협은 성장형이없어ㅜ이번엔 과거행;;	1
다시보니 정문에서 리트릴 돈걷어내고 있었구나 이런 ㄷㅣ테일...	1
소녀배틀액션물 너무 좋당 ◠ ̫◠	1
점점 이야기가 더욱 궁금해진다.	1
이야 내려도내려도 끝이없누 작가님 오늘도 잘보고갑니다!	2
예고편 분량의 상태가?	2
분량보소?	2
분량 개 길다..	2
분량 짱짱 많다	2
100컷이 넘었어..대박	2
매화 분량 미쳤다 진짜	2
분량 반으로 줄이셔도 9.9받으실듯 하네요 ㅋㅋㅋ대박적인 분량이네요 ㅋㅋㅋㅋㅋ	2
분량 네이버 웹툰 중에서 최고로 긴듯 ㅋ	2
분량 많네	2
